site,category_name,category_id
ID,Fashion,7383
ID,Long Wallet,7391
ID,Long Wallet,7391
ID,Folded Wallet,7392
ID,Folded Wallet,7392
ID,Card Wallet,7393
ID,Card Wallet,7393
ID,Coin Wallet,7394
ID,Coin Wallet,7394
ID,Handphone & Key Wallet,7396
ID,Handphone & Key Wallet,7396
ID,Luggage,7404
ID,Luggage,7404
ID,Travel Bag,7405
ID,Travel Bag,7405
ID,Travel Bag Cover,7406
ID,Travel Bag Cover,7406
ID,Luggage Tag,7407
ID,Luggage Tag,7407
ID,Soft Case,7410
ID,Soft Case,7410
ID,Hard Case,7411
ID,Hard Case,7411
ID,Flip Case,7412
ID,Flip Case,7412
ID,Custom case,7413
ID,Custom case,7413
ID,Bumper,7414
ID,Bumper,7414
ID,Shoes Storage,7415
ID,Shoes Storage,7415
ID,Bag Organizer,7416
ID,Bag Organizer,7416
ID,Rack,7417
ID,Rack,7417
ID,Lightning,7418
ID,Lightning,7418
ID,Box,7420
ID,Box,7420
ID,Micro,7421
ID,Micro,7421
ID,Basket,7422
ID,Basket,7422
ID,Charger,7423
ID,Charger,7423
ID,Docking,7425
ID,Docking,7425
ID,Powerbank,7426
ID,Powercase,7427
ID,Battery,7428
ID,Iphone,7429
ID,Iphone,7429
ID,Samsung,7430
ID,Samsung,7430
ID,Wall decoration,7431
ID,Wall decoration,7431
ID,Xiaomi,7433
ID,Xiaomi,7433
ID,Clock,7434
ID,Clock,7434
ID,Asus,7435
ID,Asus,7435
ID,Photo Frame & Decoration,7436
ID,Photo Frame & Decoration,7436
ID,Nokia,7437
ID,Nokia,7437
ID,Lenovo,7439
ID,Lenovo,7439
ID,Bed Linen,7440
ID,Bed Linen,7440
ID,Bedcover,7441
ID,Bedcover,7441
ID,Blanket,7442
ID,Blanket,7442
ID,Pillow & Bolster,7444
ID,Pillow & Bolster,7444
ID,Bath Towel,7445
ID,Bath Towel,7445
ID,Soap Dispenser,7446
ID,Soap Dispenser,7446
ID,Bathroom tools,7447
ID,Bathroom tools,7447
ID,Stroller,7477
ID,Stroller,7477
ID,Baby carrier,7479
ID,Baby carrier,7479
ID,Car seat,7481
ID,Car seat,7481
ID,Baby bag,7482
ID,Baby bag,7482
ID,Bottle,7487
ID,Bottle,7487
ID,Telkomsel,7489
ID,Telkomsel,7489
ID,Slabber,7494
ID,Slabber,7494
ID,Eating Set,7495
ID,Eating Set,7495
ID,Baby blanket,7496
ID,Baby blanket,7496
ID,Pillow & Bolster,7497
ID,Pillow & Bolster,7497
ID,Bouncer,7498
ID,Bouncer,7498
ID,Baby Wipes,7501
ID,Baby Wipes,7501
ID,Baby Lotion & Cream,7502
ID,Baby Lotion & Cream,7502
ID,Baby Powder,7503
ID,Baby Powder,7503
ID,Instant Camera,7505
ID,Instant Camera,7505
ID,Digital Camera,7507
ID,Digital Camera,7507
ID,Pet Food and Vitamin,7514
ID,Pet Toys,7515
ID,Pet Toys,7515
ID,Pet Cage,7516
ID,Pet Cage,7516
ID,Juicer & Blender,7528
ID,Juicer & Blender,7528
ID,Rice Cooker & Warmer,7529
ID,Rice Cooker & Warmer,7529
