内部ID,item_id,站点,链接,title,商家名,商家地址,发货地址,价格,价格区间,近三天销量,近7天销量
9511276,293352524205,US,https://www.ebay.com/itm/293352524205,Women V Neck Long Sleeve Printed Jumpsuit Ladies Casual Wide Leg Playsuit Romper,wellamazing,CN,"US,California US",6,6.49-,0,1
9469506,153949810294,US,https://www.ebay.com/itm/153949810294,?? Womens Sleeveless V Neck Jumpsuit Casual Loose Wide Leg Pants Romper Playsuit,usefuljazz,CN,"CN,Foshan CN",12,12.09-,0,0
9499890,313257410590,US,https://www.ebay.com/itm/313257410590,Women Casual Strapless Long Sleeve T Shirt V Neck Tops Loose Blouse Tunic,gljfc168,US,"US,New York,Oceanside",11,10.99-,4,7
9428618,313254890565,US,https://www.ebay.com/itm/313254890565,Women Long Sleeve Hooded Sweatshirt Camouflage Casual Hoodies Top Loose Pullover,gljfc168,US,"US,New York,Oceanside",13,13.19-,9,18
9499727,283698785001,US,https://www.ebay.com/itm/Women-Ladies-Casual-Full-Long-Zip-up-Fleece-Hoodie-Sweatshirt-Tops-Hooded-Jacket/283698785001?_trkparms=aid%3D1110006%26algo%3DHOMESPLICE.SIM%26ao%3D1%26asc%3D225086%26meid%3Dc1647f000fea4f3896447875efb4519b%26pid%3D100623%26rk%3D2%26rkt%3D5%26mehot%3Dpp%26sd%3D313254890565%26itm%3D283698785001%26pmt%3D1%26noa%3D1%26pg%3D2047675%26algv%3DDefaultOrganic%26brand%3DJuicy+Couture&_trksid=p2047675.c100623.m-1,Women Ladies Casual Full Long Zip up Fleece Hoodie Sweatshirt Tops Hooded Jacket,jtrendz-llc,US,"US,Virginia,Fredericksburg",23,22.99-,7,12
9505576,313131661226,US,https://www.ebay.com/itm/313131661226,Womens Striped Hoodies Sleeveless Short Casual Mini Dress Tunic T Shirt Sundress,gljfc168,US,"US,New York,Oceanside",8,8.39-,0,2
9510269,324249160769,US,https://www.ebay.com/itm/324249160769,Womens Fashion Crop Top Hoodie Tie Dye Pullover Sweatshirts Hoodies Thin Tops Sp,honyge,CN,"US,Georgia,Austell",13,12.73-,2,2
9510268,154146753846,US,https://www.ebay.com/itm/154146753846,Women Casual Hoodies Sweatshirt Ladies Hooded Long Sleeve Tops Jumper Pullover,goodfo_73,CN,"US,New Jersey,Dayton",8,7.99-,0,1
9510385,313296726728,US,https://www.ebay.com/itm/313296726728,US Women's Zip Up Fleece Hoodies Hoody Casual Sports Sweatshirt Coat Jacket Tops,quickxyz,HK,"US,California",13,12.99-,1,3
9510261,313161944727,US,https://www.ebay.com/itm/313161944727,Women's Casual Hoodies Sweatshirt Loose Hooded Long Sleeve Tops Jumper Pullover,downlightdirect,CN,"US,California",11,10.99-,3,4
9510103,203063696593,US,https://www.ebay.com/itm/203063696593,Women Skinny High Waist Jeans Ladies Stretchy Slim Jeggings Denim Pants Trousers,2011godseller,CN,"US,California",19,18.99-,1,2
9506066,313348706213,US,https://www.ebay.com/itm/313348706213,Women High Waisted Flared Denim Jeans Ladies Bell Bottom Wide Leg Pants Trousers,downlightdirect,CN,"US,CALIFORNIA",22,22.49-,1,1
9516007,392106480291,US,https://www.ebay.co.uk/itm/Fashion-Casual-Women-Ripped-Long-Sleeve-Hoodie-Sweatshirt-Jumper-Pullover-Blouse/392106480291?_trkparms=aid%3D1110012%26algo%3DSPLICE.SOIPOST%26ao%3D1%26asc%3D20201210111451%26meid%3Df8002ddb34924238926f3d9a4875c485%26pid%3D101196%26rk%3D3%26rkt%3D12%26mehot%3Dnone%26sd%3D292756433160%26itm%3D392106480291%26pmt%3D1%26noa%3D0%26pg%3D2047675%26algv%3DPromotedSellersOtherItemsV2WithMLRv3%26brand%3DUnbranded&_trksid=p2047675.c101196.m2219,Fashion Casual Women Ripped Long Sleeve Hoodie Sweatshirt Jumper Pullover Blouse,goodshop_268,CN,"CN,Guangdong,Shenzhen",14,14.46-,0,0
9510103,203063696593,US,https://www.ebay.com/itm/203063696593,Women Skinny High Waist Jeans Ladies Stretchy Slim Jeggings Denim Pants Trousers,2011godseller,CN,"US,California",19,18.99-,1,2
9510105,293745810906,US,https://www.ebay.com/itm/293745810906,Women Ladies Flared Jeans Retro Bell Bottom Wide Leg Denim Pants Skinny Trousers,wellamazing,CN,"US,California US",10,9.79-,0,0
9510110,203095241887,US,https://www.ebay.com/itm/203095241887,Women Skinny High Waist Leggings Yoga Gym Fitness Sport Pants Trousers Joggers,bluejaguar,CN,"US,california",3,2.99-,3,9
9510083,373138546921,US,https://www.ebay.com/itm/373138546921,Women's Butt Lift Leggings Yoga Pants Push Up Sports Casual Workout Trousers,home-garden168,CN,"US,Kentucky,Walton",5,4.99-,12,23
9511537,203085506819,US,https://www.ebay.com/itm/203085506819,Womens Sexy V Neck Butterfly Bodycon Jumpsuit Sleepwear Pajama Romper Bodysuit,bluejaguar,CN,"US,California",9,8.99-,0,1
9511539,402485961320,US,https://www.ebay.com/itm/402485961320,Fall Women Plaid Long Sleeve Hooded Hoodie Pullover Sweatshirt Casual Jumper Top,2011godseller,CN,"US,California",25,24.6-,0,0
9513305,313159887937,US,https://www.ebay.com/itm/313159887937,Women Summer V Neck Sleeveless Tank Dress Casual Solid Loose Pocket Short Dress,gljfc168,US,"US,New York,Oceanside",10,9.98-,3,6
